acidity,sulfur_dioxide,density,pH,alcohol,color,quality
7.4,179,0.9955,3.28,8.9,white,5
6.6,144,0.9922,3.17,10,white,5
7.7,102,0.9918,3.16,12.2,white,7
7.8,181,0.9955,3.04,10.9,white,6
6.5,141,0.9941,3.34,9.5,white,6
7.8,178,0.9955,3.04,10.9,white,6
7.8,181,0.9955,3.04,10.9,white,6
6.9,99,0.9924,3.16,10.8,white,6
7.7,135,0.9973,3.24,12,white,6
6.6,163,0.999,3.56,9.8,white,5
6.5,141,0.9941,3.34,9.5,white,6
6.4,150,0.9922,3.42,11,white,8
6.4,150,0.9922,3.42,11,white,8
8.4,150,0.9953,3.24,9.8,white,5
6.1,200,0.9945,3.49,10.5,white,4
8.5,142,0.9945,3.05,11.4,white,6
8.7,100,0.9957,3.27,10.1,white,6
6.7,127,0.9932,3.33,11.6,white,7
8.5,142,0.9945,3.05,11.4,white,6
7.4,115,0.9913,3.07,11.8,white,7
7.2,158,0.9909,3.33,12.1,white,7
8.2,122,0.9939,3.16,12,white,5
7.8,189,0.991,3.08,12.1,white,7
9.4,176,0.9954,3.15,9.1,white,5
6.4,117,0.9943,3.36,9.3,white,5
7.8,153,0.993,3.2,10.4,white,6
7.4,187,1.0002,3.27,9.1,white,5
6.6,120,0.9946,3.32,9.4,white,5
6.7,149,0.9953,3.16,9.6,white,6
7.1,126,0.9918,3.19,12,white,5
6.9,128,0.9936,3.27,11.3,white,8
6.8,173,0.9984,3.06,8.7,white,6
6.4,162,0.9956,3.39,9.9,white,6
7.6,191,0.9966,3.08,9.3,white,6
9.4,67,0.9942,3.07,9.5,white,5
6.8,173,0.9984,3.06,8.7,white,6
6.4,162,0.9956,3.39,9.9,white,6
7.6,191,0.9966,3.08,9.3,white,6
7.5,119,0.9974,3.16,9.4,white,5
7.6,116,0.9944,3.15,9.4,white,5
8.8,184,1.0008,3.28,8.8,white,6
7.5,119,0.9974,3.16,9.4,white,5
8.8,184,1.0008,3.28,8.8,white,6
6.6,184,0.9928,3.18,9.9,white,6
7.6,116,0.9944,3.15,9.4,white,5
5.6,72,0.9908,3.29,12.6,white,6
7.2,110,0.9917,3.19,11.1,white,6
8.2,100,0.9911,3,12.8,white,7
6.8,164,0.9912,3.09,12,white,6
6.7,131,0.9953,3.36,12,white,7
7.2,114,0.9932,3.19,9.2,white,4
6,96,0.9896,3.38,12.3,white,6
6.8,131,0.9889,3.19,13,white,6
6.8,164,0.9912,3.09,12,white,6
7.4,110,0.9926,3.07,10.9,white,5
8.2,100,0.9911,3,12.8,white,7
7.3,231,0.9964,3.36,10,white,6
6.5,165,0.9974,3.22,9,white,5
7.1,84,0.9944,3.42,10.4,white,5
6.5,165,0.9974,3.22,9,white,5
7.3,231,0.9964,3.36,10,white,6
7.3,240,0.9963,3.36,10,white,6
7.7,167,0.9948,3.12,11.3,white,7
7.7,167,0.9948,3.12,11.3,white,7
7.4,153,0.9953,3.13,12,white,7
7.7,167,0.9948,3.12,11.3,white,7
7.4,153,0.9953,3.13,12,white,7
6.4,160,0.9949,3.6,10.6,white,6
8,213,0.9988,2.99,9.3,white,5
7,104,0.9954,3.04,9.4,white,6
7.2,102,0.992,3.27,11,white,7
6.5,247,0.9984,3.44,9.3,white,6
7,104,0.9954,3.04,9.4,white,6
6.9,164,0.9926,3.42,10.5,white,5
7.2,102,0.992,3.27,11,white,7
8.2,249,0.9976,3.07,9.5,white,6
8.3,139,0.9972,3.33,11.2,white,6
6.1,94,0.991,3.29,12.3,white,6
7.4,157,0.998,3.27,9,white,5
7.6,180,0.9966,3.07,9,white,5
7.4,157,0.998,3.27,9,white,5
8.7,243,1.0007,2.98,9,white,5
7,189,0.992,3.25,11.4,white,6
7.1,181,0.9925,3.2,11,white,7
6.1,94,0.991,3.29,12.3,white,6
6.4,127,0.9934,3.6,10.4,white,7
8.3,107,0.9955,3.28,10.3,white,5
6.8,172,0.9944,3.29,10.5,white,7
8,197,0.9981,3.14,9.8,white,6
10,181,0.9968,3.11,10,white,4
8.9,176,0.9946,3.14,9.7,white,5
8.9,171,0.9946,3.13,9.7,white,5
8,197,0.9981,3.14,9.8,white,6
6.7,161,0.9946,3.32,10.5,white,6
7.8,186,0.997,3.14,10,white,6
7.3,104,0.9924,3.24,11.5,white,7
6.6,202,0.9958,3.24,9.5,white,5
7.1,122,0.994,3.43,10.5,white,6
7.6,142,0.9958,3.12,10.2,white,6
7.6,199,0.9984,3.34,9.8,white,6
6.9,137,0.9948,3.1,11.6,white,6
7.4,144,0.9932,3.15,11.8,white,7
8.2,140,0.9952,3.04,10.1,white,7
6.3,163,0.9924,3.31,10.3,white,6
7,168,0.9945,3.34,10.4,white,6
5.8,166,0.9976,3.09,8.9,white,5
5.8,166,0.9976,3.09,8.9,white,5
7.9,154,0.9938,3.06,10.8,white,5
6.6,165,0.9997,3.38,9.2,white,5
8,140,0.994,3.18,9.6,white,6
8,78,0.9921,3.08,10.4,white,6
8,248,0.9986,3.03,8.7,white,6
7.2,103,0.9987,3.06,9.2,white,6
7.7,213,0.9991,3.18,9.2,white,5
7.2,103,0.9987,3.06,9.2,white,6
7.7,213,0.9991,3.18,9.2,white,5
7.7,213,0.9991,3.18,9.2,white,5
6.4,124,0.9948,3.4,10.2,white,5
7.2,103,0.9987,3.06,9.2,white,6
7,107,0.993,3.2,9,white,5
7.3,178,0.9988,3.37,9.7,white,5
7.2,185,1,3.34,9.6,white,5
7.6,112,0.9932,3.14,10,white,5
7.7,213,0.9991,3.18,9.2,white,5
7.6,197,0.9989,3.18,9.1,white,5
6.8,142,1,3.3,8.7,white,5
6.8,142,1,3.3,8.7,white,5
6.8,161,0.9952,3.14,9.5,white,5
7.9,212,0.9969,2.93,9.5,white,6
7.5,166,0.9966,2.9,8.9,white,6
7.5,166,0.9966,2.9,8.9,white,6
7.2,89,0.9976,3.29,9.9,white,6
6.7,104,0.99,3.29,12.6,white,7
10,166,0.9988,2.72,9.7,white,6
7.4,118,0.9942,2.96,10.4,white,5
8.8,183,0.9984,2.93,9.1,white,6
7.8,106,0.9932,3.01,10.4,white,5
7.9,212,0.9969,2.93,9.5,white,6
7.5,166,0.9966,2.9,8.9,white,6
6,120,0.9933,3.16,10.6,white,5
7.9,158,0.9916,3.12,12,white,7
7.2,98,0.9914,2.93,12.5,white,7
7.6,126,0.9966,3.21,9.6,white,5
6.6,180,0.9958,3.08,9.2,white,5
7.1,71,0.9926,3.04,9.9,white,6
7.9,112,0.9939,2.96,11.7,white,6
8.3,153,0.9953,3.09,9.6,white,6
6.8,135,0.9906,3,12,white,6
7.2,98,0.9914,2.93,12.5,white,7
6.6,180,0.9958,3.08,9.2,white,5
7.1,71,0.9926,3.04,9.9,white,6
6.6,177,0.9991,3.17,8.9,white,6
7.3,189,0.9994,3.24,9,white,6
8.1,158,0.9976,3.03,10.2,white,7
7.6,126,0.9966,3.21,9.6,white,5
7,127,0.9953,3.29,9.4,white,5
8.2,59,0.9923,2.97,10.4,white,5
7.6,106,0.993,3.15,10.4,white,4
6.3,97,0.9931,3.16,10,white,6
6.3,96,0.9932,3.16,10,white,6
7.1,169,0.9926,3.05,10.5,white,5
7,193,0.9938,3.23,11.4,white,6
8.8,172,0.9966,3.08,10.2,white,5
9.2,228,0.9974,3.04,10.4,white,6
7.1,307.5,0.9924,3.24,11,white,3
9.2,93,0.9948,2.89,10.1,white,6
7.2,182,0.9964,3,9.2,white,5
6.8,87,0.9924,3.23,10.3,white,6
8.8,172,0.9966,3.08,10.2,white,5
9.2,228,0.9974,3.04,10.4,white,6
7.3,172,0.9938,3.23,11.1,white,7
7.2,84,0.9928,3.33,9.9,white,5
6.8,143,0.9959,3.14,9,white,5
8.3,256,1.0001,2.93,8.6,white,5
6.8,143,0.9959,3.14,9,white,5
8.3,256,1.0001,2.93,8.6,white,5
6.3,195,0.9968,3.18,9.5,white,5
6,197,0.9932,3.02,9,white,5
8.1,152,0.9954,2.99,10,white,6
6.4,158,0.9992,3.6,9,white,6
5.7,197,0.9932,3.02,9,white,5
7.2,135,0.9939,3.34,10.2,white,7
6.7,160,0.9952,3.04,9.6,white,5
8,219,0.9996,2.96,9.7,white,5
9.9,185,0.9966,3.02,10.2,white,4
8.1,142,0.9925,3.01,13,white,7
8.1,172,0.996,3.37,10.8,white,6
8,219,0.9996,2.96,9.7,white,5
6.4,169,0.9973,2.89,9,white,5
7.2,63,0.9937,3.37,9.9,white,5
7,89,0.9966,3.29,9.2,white,6
7.4,238,1.0017,2.96,8.7,white,6
8.5,91,0.993,2.79,10.1,white,5
8.5,91,0.993,2.79,10.1,white,5
9.5,123,0.9959,2.9,9.5,white,5
8.2,99,0.9958,3.17,9.9,white,5
7.4,238,1.0017,2.96,8.7,white,6
6.8,173,0.9958,3.19,9,white,5
6.8,163,0.9979,3.03,8.6,white,6
7.4,114,0.9941,3.12,10.5,white,6
8,186,0.997,3.09,9.5,white,7
7.6,142,0.9934,3.43,10.1,white,6
6.3,164,0.9927,3.53,11.7,white,7
8.3,116,0.9944,3.23,10.7,white,6
6.3,164,0.9927,3.53,11.7,white,7
7.6,133,0.9963,3.15,9.2,white,5
7.5,139,1.0011,3.17,8.8,white,5
7.5,139,1.0011,3.17,8.8,white,5
6.8,197,0.9959,3.24,9.5,white,6
6.8,208,0.9973,3.57,10.2,white,5
8.4,143,0.9966,3.25,9.1,white,6
7.9,103,0.9932,3.19,10.5,white,6
7.5,184,0.9984,3.09,9,white,6
7.6,212.5,0.999,3.14,8.9,white,8
7.6,212.5,0.999,3.14,8.9,white,8
7.6,212.5,0.999,3.14,8.9,white,8
7.6,212.5,0.999,3.14,8.9,white,8
7.6,212.5,0.999,3.14,8.9,white,8
8.1,181,1.0006,3.2,9.1,white,6
7.6,151,0.9937,3.2,10.1,white,6
8.1,176,0.9954,3.12,10,white,5
8,201,0.997,3.11,9.5,white,6
7.1,102,0.9912,3.08,12.3,white,7
6.4,110,0.9939,3.24,9.1,white,4
7.6,212.5,0.999,3.14,8.9,white,8
7,103,0.9957,3.5,9.6,white,5
7.4,180,0.9926,3.13,11.6,white,6
7,168,0.9994,3.34,8.8,white,6
8.4,170,1.0004,3.34,8.9,white,6
7,168,0.9994,3.34,8.8,white,6
8.4,170,1.0004,3.34,8.9,white,6
8.4,170,1.0004,3.34,8.9,white,6
7.3,197,1.0002,3.13,9,white,6
6.8,145,0.9922,3.19,10,white,5
6.7,147,0.9922,3.18,10,white,5
7.6,154,0.9934,3.36,11.1,white,6
7.4,180,0.9926,3.13,11.6,white,6
7.4,178,0.9941,3.42,10.6,white,6
7,168,0.9994,3.34,8.8,white,6
8.4,170,1.0004,3.34,8.9,white,6
5.6,84,0.9924,3.34,10.1,white,6
7.2,159,0.9948,3.52,10,white,5
8,98,0.9935,3.18,12.2,white,7
7,95,0.9918,3.23,11,white,6
7.2,159,0.9948,3.52,10,white,5
6.8,160,0.9924,3.37,11.1,white,5
6.6,133,0.9979,3.22,10.4,white,6
9,71,0.993,2.94,11.8,white,5
6.9,84,0.994,3.11,10.8,white,6
6.3,110,0.991,3.3,12.5,white,7
9,71,0.993,2.94,11.8,white,5
7,136,0.9922,3.25,11.6,white,7
6.6,133,0.9979,3.22,10.4,white,6
7.7,163,0.9937,3.19,11.5,white,6
6.3,142,0.9928,3.23,10.1,white,6
7.6,215,0.9965,3.11,9.2,white,6
6.3,142,0.9928,3.23,10.1,white,6
8,190,0.9991,3.07,9.2,white,5
7.5,149,0.9948,3.08,8.9,white,5
6.4,60,0.9925,3.09,10.1,white,5
6.9,180,0.9958,3.13,8.9,white,5
8.9,150,0.9962,3.1,9.7,white,6
7.6,215,0.9965,3.11,9.2,white,6
9.5,145,0.9951,3.06,11,white,6
7.6,160,0.9944,3.14,10.7,white,5
6.5,101,0.9916,3.24,10.8,white,6
7.2,183,0.9987,3.41,9.8,white,5
7.9,124,0.9928,3.25,11,white,5
8.8,72,0.9926,2.97,10.4,white,5
5.7,155,0.9934,3.8,10.2,white,6
7.6,160,0.9944,3.14,10.7,white,5
5.5,104,0.9949,3.34,9,white,5
8.7,71,0.9926,3.08,10.6,white,5
6.7,212,0.997,3.22,9.5,white,6
5.5,104,0.9949,3.34,9,white,5
5.6,104,0.9948,3.34,9.2,white,6
7.4,107,0.992,2.97,11,white,6
5.7,115,0.9964,3.28,9.9,white,6
8.7,71,0.9926,3.08,10.6,white,5
8.3,126,0.9982,3.38,9.3,white,5
6.8,156,0.9955,3.14,9.6,white,5
6.8,155,0.9955,3.14,9.5,white,5
6.3,172,0.9958,3.39,9.7,white,7
11.8,123,0.9997,2.93,9.7,white,3
6.8,146,1.0001,3.3,8.7,white,5
6.8,146,1.0001,3.3,8.7,white,5
8.6,101,0.9918,3.01,12.4,white,5
8.6,101,0.9918,3.01,12.4,white,5
7.3,155,0.9931,3.07,10.6,white,6
6.8,146,1.0001,3.3,8.7,white,5
6.7,151,0.9926,3.36,12,white,7
7.3,227,0.9966,3.12,9,white,5
5.7,169,0.9932,3.13,8.8,white,5
6.8,223,0.9969,3.22,9.5,white,5
6.7,96,0.9925,3.32,10.8,white,6
6.9,132,0.9914,3.16,11.4,white,5
7.6,123,0.996,3.6,10.3,white,5
6.6,180,0.9952,3.3,9.5,white,6
7.8,127,0.9934,3.15,9.9,white,5
7.7,142,0.9939,3.16,10.2,white,5
7.6,146,0.9939,3.16,10.2,white,5
5.7,104,0.9906,3.44,11,white,6
7.1,126,0.9901,3.22,12.1,white,7
7.3,173,0.9948,3.26,9.1,white,6
6.5,140,0.995,3.26,9.5,white,6
6.6,164,0.9953,3.27,9.5,white,5
6.6,189,0.9953,3.31,9.8,white,5
6.6,180,0.9952,3.3,9.5,white,6
7.6,123,0.996,3.6,10.3,white,5
6.8,124,0.9948,3.3,9.6,white,5
7,198,0.9951,3.52,10.2,white,6
5.9,119,0.9931,3.68,10.5,white,6
7.4,117,0.9962,3.32,10.4,white,4
6.8,124,0.9948,3.3,9.6,white,5
7.5,95,0.9959,3.22,10.7,white,5
7.5,119,0.9962,3.15,10.5,white,6
9.4,111,0.9958,2.85,10.6,white,5
7.9,150,0.9948,3.29,9.6,white,6
7.9,150,0.9948,3.29,9.6,white,6
8.2,101,0.994,3.14,9.5,white,5
8.3,153,0.9942,3.12,9.4,white,6
8.7,130,0.9942,3.22,9.8,white,6
7.9,150,0.9948,3.29,9.6,white,6
7.2,172,0.9964,3.16,9.2,white,5
7.2,176,0.9958,3.17,9.5,white,5
5.3,93,0.9932,3.34,9.2,white,5
6.6,136,0.9986,2.94,9.4,white,5
6.6,136,0.9986,2.94,9.4,white,5
8.4,146,0.9988,3.4,9.3,white,5
6.8,129,0.9953,3.19,9.1,white,5
6.7,145,0.9983,3.36,9.5,white,5
7.4,163,1,3.42,9.1,white,6
6,153,0.9951,3.63,10.6,white,5
6.7,145,0.9983,3.36,9.5,white,5
6.8,85,0.9906,3.19,12.4,white,6
6.2,237,0.9981,3.18,8.7,white,5
6,128,0.9936,3.12,8.8,white,5
6,153,0.9951,3.63,10.6,white,5
6.8,129,0.9953,3.19,9.1,white,5
8.5,234,1.0005,3.02,9,white,5
8.1,141,0.9972,3.16,10.3,white,6
7.4,163,1,3.42,9.1,white,6
7.7,186,0.9969,3.12,9.5,white,6
6.5,138,1.0001,3.3,8.8,white,5
6.5,138,1.0001,3.3,8.8,white,5
6.5,138,1.0001,3.3,8.8,white,5
5.7,93,0.9934,3.38,9.9,white,5
7.7,186,0.9969,3.12,9.5,white,6
6.5,138,1.0001,3.3,8.8,white,5
6.8,68,0.9902,3.14,11.7,white,4
7.7,117,0.993,3.21,10.8,white,5
6.4,126,0.9914,3.43,12,white,6
8,122,0.9941,3.2,10.3,white,4
6.8,154,0.9967,3.05,9,white,5
7.7,109,0.9918,3.19,12.2,white,7
6.9,173,0.998,3.39,9.9,white,5
6.8,154,0.9967,3.05,9,white,5
7.7,109,0.9918,3.19,12.2,white,7
6,163,0.9957,3.2,10.1,white,5
6.5,174,0.9986,3.31,9.3,white,5
9.1,344,0.9958,3.1,9.5,white,5
5.9,146,0.9948,3.43,9.2,white,6
6.8,115,0.9918,3.27,11.7,white,5
7,144,0.9923,3.35,11,white,5
7.1,158,0.9998,3.37,9.6,white,6
7.1,158,0.9998,3.37,9.6,white,6
8.3,162,0.9914,2.99,11.9,white,6
6.8,118,0.9939,3.25,10.8,white,6
7.2,224,0.9966,3.38,10.1,white,5
7.9,132,0.995,3.25,10.9,white,6
7.2,224,0.9966,3.38,10.1,white,5
5.5,102,0.994,3.27,10.4,white,5
7.1,105,0.9972,3.05,9.2,white,5
7.7,117,0.9998,3.27,9.6,white,5
7.7,117,0.9998,3.27,9.6,white,5
7.5,179,0.9982,3.1,9,white,5
6.5,89,0.9924,3.4,11.5,white,7
8.2,145,0.9972,3.17,10.2,white,6
7.2,165,0.997,3.4,9.9,white,6
7.2,105,0.9954,3.44,9.6,white,6
6.4,142,0.9962,3.1,10.6,white,5
7.1,105,0.9972,3.05,9.2,white,5
6.8,99,0.9921,3.24,11.8,white,6
7,102,0.9905,3.18,12.2,white,6
7.7,117,0.9998,3.27,9.6,white,5
7,76,0.993,3.2,10.6,white,6
7.5,91,0.9941,3.27,10.3,white,6
9.8,187,0.9994,3.12,10.2,white,4
7.8,181,0.9962,3.11,10.7,white,5
7.9,76,0.992,3.05,11.7,white,4
8.5,92,0.9922,3.01,12,white,6
7.4,105,0.994,3.52,10.6,white,6
6.3,61,0.9897,3.3,12.2,white,4
6,124,0.9954,3.47,11,white,6
6.8,79,0.99,3.23,12.4,white,7
9.9,115,0.9948,2.77,9.4,white,6
8.5,92,0.9922,3.01,12,white,6
8.4,130,0.998,2.96,11.6,white,5
7,162,0.9944,3.18,9.4,white,5
7,162,0.9944,3.18,9.4,white,5
7.4,229,0.9986,3.14,9.1,white,7
7.4,229,0.9986,3.14,9.1,white,7
7.4,229,0.9986,3.14,9.1,white,7
7.4,229,0.9986,3.14,9.1,white,7
7.4,229,0.9986,3.14,9.1,white,7
6.9,117,0.996,3.23,9.2,white,5
7.6,163,0.9999,3.15,9.2,white,5
7.4,229,0.9986,3.14,9.1,white,7
7.4,212,0.9986,3.14,9.1,white,7
6.9,117,0.996,3.23,9.2,white,5
6,126,0.9951,3.25,9,white,7
7.6,163,0.9999,3.15,9.2,white,5
7.7,106,0.993,3.22,10.8,white,6
8,146,0.9982,3.4,9.5,white,6
7.4,114,0.992,3.11,11,white,6
6.6,146,0.9963,3.24,10,white,5
6.3,141,0.995,3.22,9.5,white,5
6.4,109,0.9956,3.29,10.1,white,6
7.5,94,0.997,3.19,9.5,white,7
6.5,74,0.9936,3.08,9.5,white,5
6.8,137,0.9935,3.11,9.5,white,5
6.4,90,0.9963,3.35,9.4,white,6
7.1,125,0.9967,2.92,9.4,white,6
7.6,110,0.9912,3.31,12.7,white,6
9.2,145,0.9981,3.09,9.7,white,5
7.9,153,0.9966,3.27,9.7,white,6
7.1,125,0.9967,2.92,9.4,white,6
6.4,90,0.9963,3.35,9.4,white,6
6.8,137,0.9935,3.11,9.5,white,5
7,71,0.9902,3.1,11.7,white,6
7.3,101,0.99,3.09,11.7,white,6
7.1,187,0.996,3.16,9.7,white,5
6.6,231,0.9966,3.24,9.5,white,6
6.4,157,0.9962,3.25,9.1,white,5
6,147,0.994,3.23,10.3,white,6
7.1,187,0.996,3.16,9.7,white,5
7.8,167,0.994,3.21,9.9,white,5
7.6,175,0.9944,3.22,9.9,white,5
7.7,178,0.9974,3.26,10.2,white,5
8.9,132,0.996,3,12.1,white,6
6.6,138,0.9922,3.15,11.3,white,7
7.1,128,0.9917,3.19,11.4,white,5
7,125,0.9918,3.17,12.2,white,6
7.4,150,0.9936,3.18,9.9,white,7
6.9,136,0.9938,3.63,10.3,white,6
7,125,0.9918,3.17,12.2,white,6
7.4,107,0.9939,3.52,10.4,white,6
7.1,128,0.9917,3.19,11.4,white,5
8.5,161,0.9981,3.13,9.9,white,6
7.8,96,0.9941,3.32,10,white,5
8.1,129,0.9928,3.21,11.5,white,6
7.7,163,0.9952,3.44,10.5,white,6
6.5,134,0.9898,3.28,12.5,white,7
7,120,0.9914,2.98,10.5,white,6
8.5,161,0.9981,3.13,9.9,white,6
8,157,0.9957,3.06,11.4,white,7
6.9,169,0.998,3.42,9.8,white,6
8,157,0.9957,3.06,11.4,white,7
7.6,166,0.9986,3.03,9.2,white,4
7.7,177,0.9983,3.08,8.9,white,5
7.7,179,0.9982,3.07,8.9,white,5
7.1,124,0.997,2.92,9.5,white,7
6.9,150,0.9947,3.21,11.5,white,6
7.1,124,0.997,2.92,9.5,white,7
6.9,150,0.9947,3.21,11.5,white,6
8.4,89,0.99416,2.96,9.5,white,6
6.5,164,0.99516,3.35,9.7,white,5
7.2,90,0.99496,3.17,9.7,white,5
6.9,147,0.9974,3.32,9.5,white,6
7.1,184,0.99579,3.16,9.4,white,5
6.4,162,0.9983,3.13,9,white,4
6.1,151,0.99471,3.6,10.6,white,6
6.9,147,0.9974,3.32,9.5,white,6
7.2,180,0.99644,3.16,9.1,white,5
7.1,184,0.99579,3.16,9.4,white,5
6.1,169,0.99699,3.05,8.8,white,5
6.7,171,0.99758,3.54,10.4,white,5
7,228,0.9977,3.13,8.9,white,5
7.5,141,0.99397,3.16,10.6,white,7
6.4,162,0.9983,3.13,9,white,4
6.1,151,0.99471,3.6,10.6,white,6
7.4,100,0.99243,3.28,10.6,white,6
6.3,186,0.9962,3.23,9,white,5
9.2,235,1.00182,3.08,8.8,white,6
7.4,101,0.99384,3.54,10.5,white,7
7.2,174,0.99582,3.16,9.5,white,5
6.3,186,0.9962,3.23,9,white,5
6.2,172,0.9924,3.14,10.4,white,6
7.3,133,0.99466,3.38,10,white,6
7.1,128,0.99212,2.97,10.4,white,5
7.2,132,0.99449,3.11,9,white,6
7.6,205,0.99748,3.24,9.3,white,5
7.2,132,0.99449,3.11,9,white,6
7.6,205,0.99748,3.24,9.3,white,5
6.5,134,0.99475,3.18,9,white,6
8.5,61,0.99189,3.06,11.5,white,6
6.9,159,0.99827,3.11,9,white,5
6.6,154,0.99752,3.52,10.4,white,6
6.9,159,0.99827,3.11,9,white,5
9.4,167,0.99479,3.08,10.6,white,5
6.6,154,0.99752,3.52,10.4,white,6
6.3,152,0.99642,3.47,8.5,white,6
8.5,169,1.00047,3.07,9.3,white,6
7.3,107,0.99382,3.53,10.5,white,7
6.7,156,0.99784,3.39,9.9,white,6
6.2,108,0.99486,3.4,10.4,white,6
6.1,94,0.99537,3.35,10.1,white,5
7.3,107,0.99382,3.53,10.5,white,7
7.5,178,0.99838,3.04,9.2,white,4
6.7,200,0.99566,3.17,9.4,white,6
7.4,91,0.99268,3.53,10.6,white,6
6.7,200,0.99566,3.17,9.4,white,6
7.1,149,0.99468,3.08,8.7,white,5
6.4,77,0.9933,3.61,10.2,white,6
6.3,66,0.99307,3.61,10.3,white,6
7.4,210,0.99907,3.06,9.5,white,5
7.4,210,0.99907,3.06,9.5,white,5
7.4,210,0.99907,3.06,9.5,white,5
7.4,210,0.99907,3.06,9.5,white,5
6.6,144,0.99471,3.17,9.4,white,5
6.7,145,0.99471,3.17,9.4,white,5
7.4,210,0.99907,3.06,9.5,white,5
7.3,97,0.99148,3.16,12.6,white,7
7.4,106,0.99383,3.52,10.5,white,7
8.6,150,0.99365,3.1,10.8,white,6
6.5,208,0.99272,3.18,9.9,white,6
7.3,97,0.99148,3.16,12.6,white,7
7,115,0.99235,3.38,12.2,white,7
7.5,150,0.99508,3.23,10,white,6
6.9,168,0.9946,3.29,10.6,white,7
6.5,202,0.99674,3.24,9.5,white,6
6.3,109,0.99018,3.34,12.8,white,8
7,115,0.99235,3.38,12.2,white,7
7.3,125,0.99084,3.34,12.6,white,7
6.6,125,0.99856,3.45,9.4,white,5
6,194,0.99591,3.21,9,white,5
6.9,126,0.9975,3.23,9.1,white,5
7.5,168,0.9944,3.06,9.4,white,6
7,143,0.99173,3.33,12.2,white,7
5.6,134,0.99378,3.21,10,white,5
6.8,159,0.99805,2.93,9.2,white,5
9.4,139,0.99534,3.11,9.3,white,5
8.1,126,0.99232,3.14,9.8,white,6
6.8,159,0.99805,2.93,9.2,white,5
7,132,0.99078,3.34,12,white,7
9.4,139,0.99534,3.11,9.3,white,5
6.8,80,0.99061,3.33,12.6,white,7
7,127,0.99182,3.31,12.2,white,6
7.7,144,0.9966,3.4,11,white,6
7.4,116,0.9912,3.25,12,white,7
7.5,153,0.99779,3.16,8.8,white,5
7.5,164,0.99814,3.17,8.9,white,4
6.6,84,0.99096,3.59,12.7,white,7
8,130,0.99379,3.1,11.8,white,6
4.6,178,0.99426,3.79,10.2,white,5
6.1,121,0.99228,3.24,9.9,white,6
7.6,148,0.99335,3.35,11.1,white,6
6.9,190,0.99595,3.22,9.4,white,5
7,119,0.99297,3.13,9.7,white,6
6.9,111,0.99687,3.11,9.7,white,5
7,119,0.99297,3.13,9.7,white,6
6.9,111,0.99687,3.11,9.7,white,5
7.6,175,0.99445,3.19,9.8,white,5
7.5,209,0.9986,3.25,9.3,white,6
7.5,161,0.99154,2.95,10.5,white,5
6.3,209,0.9981,3.47,9.3,white,6
6.8,106,0.98993,3.45,12.6,white,8
7.5,212,1.00241,3.44,8.9,white,5
8.3,118,0.99716,3.18,10.3,white,5
6.8,198,0.99437,3.29,10.6,white,5
6.5,180,0.9972,3.15,9,white,4
7.2,167,0.99756,3.48,9.7,white,5
7,90,0.99509,3.22,9.5,white,6
7.7,156,0.99572,3.49,10.3,white,6
7.2,167,0.99756,3.48,9.7,white,5
7.7,95,0.99175,3.21,12.3,white,8
6.7,149,0.99254,3.4,10.5,white,5
7,90,0.99509,3.22,9.5,white,6
8.1,211,0.99676,3.11,10,white,6
7.7,179,0.9979,3.08,8.8,white,4
7.5,98,0.99194,3,10.9,white,6
8.3,141,0.99077,2.95,12.2,white,6
7.9,184,0.99782,3.06,9.5,white,5
7.9,212,0.99942,3.47,10,white,5
7.9,202,0.99708,3.11,9.6,white,6
6.1,126,0.99353,3.13,8.7,white,6
7,89,0.99256,3.39,10.7,white,7
6.5,66,0.99199,3.43,11.1,white,6
7.6,130,0.9918,3.25,12.5,white,7
7.1,130,0.99354,3.3,10.4,white,6
8.9,93,0.99244,3.2,11.5,white,5
7.4,221,0.99831,3.05,9.4,white,5
6,129,0.99396,3.03,9.3,white,5
8.1,121,0.99724,3.17,10.1,white,6
8.2,102,0.99524,3.28,9.7,white,5
6.5,144,0.9927,3.49,10.5,white,6
6.7,182,0.99802,3.42,9.7,white,5
6.6,204,0.99512,3.59,9.2,white,5
7.6,138,0.99438,3.19,9.8,white,5
7.4,227,0.99679,3.12,9,white,5
7.2,188,0.99652,3.15,9.1,white,6
7.4,169,0.99698,3.25,10.4,white,6
6.1,144,0.99474,3.68,10.7,white,6
6.3,107,0.99511,3.59,10.5,white,7
6.2,202,0.99582,3.21,9.2,white,5
6,85,0.99125,3.28,11.5,white,4
7.6,57,0.99256,3.05,10.4,white,3
7.2,188,0.9911,3.3,12,white,6
7,150,0.99168,3.38,12.2,white,6
7.2,188,0.9911,3.3,12,white,6
7,90,0.99556,3.29,9.8,white,6
9.4,282,1.00098,3.1,9.3,white,5
6.4,191,0.99516,3.49,9.6,white,4
6.4,196,0.99516,3.49,9.5,white,4
7,144,0.99518,3.5,10.2,white,6
6.9,107,0.99347,3.24,10.4,white,8
6.7,74,0.9929,3.28,11,white,6
6.9,107,0.99347,3.24,10.4,white,8
7.6,160,0.99841,3.05,8.7,white,5
6.9,189,0.99362,3.29,9.9,white,4
6.9,186,0.99361,3.29,9.9,white,4
7.6,106,0.9914,3.06,11.3,white,4
6.8,83,0.99114,3.38,12,white,8
7,130,0.9925,3.43,10.7,white,8
6.5,156,0.99453,3.13,10.1,white,6
